issue_date,target_time,lead_hours,issue_timestamp,weather_lead_hours,weather_run_time,turbine,ws100_forecast,temp_forecast,p10,p50,p90,confidence,note
2026-02-04,2026-02-05T14:00:00+05:00,38,2026-02-04T23:59:00+05:00,48,2026-02-03T14:00:00+05:00,2,10.6,7.9,0.5859,0.9779,0.9921,ok,
2026-02-04,2026-02-05T15:00:00+05:00,39,2026-02-04T23:59:00+05:00,48,2026-02-03T15:00:00+05:00,1,8.65,7.3,0.501,0.9482,0.9929,ok,
2026-02-04,2026-02-05T15:00:00+05:00,39,2026-02-04T23:59:00+05:00,48,2026-02-03T15:00:00+05:00,2,8.65,7.3,0.4528,0.9489,0.9804,ok,
2026-02-04,2026-02-05T16:00:00+05:00,40,2026-02-04T23:59:00+05:00,48,2026-02-03T16:00:00+05:00,1,8.32,5.9,0.3991,0.9041,0.9903,ok,
2026-02-04,2026-02-05T16:00:00+05:00,40,2026-02-04T23:59:00+05:00,48,2026-02-03T16:00:00+05:00,2,8.32,5.9,0.3127,0.9063,0.979,ok,
2026-02-04,2026-02-05T17:00:00+05:00,41,2026-02-04T23:59:00+05:00,48,2026-02-03T17:00:00+05:00,1,8.46,3.4,0.4215,0.8378,1.0,ok,
2026-02-04,2026-02-05T17:00:00+05:00,41,2026-02-04T23:59:00+05:00,48,2026-02-03T17:00:00+05:00,2,8.46,3.4,0.3264,0.8378,1.0,ok,
2026-02-04,2026-02-05T18:00:00+05:00,42,2026-02-04T23:59:00+05:00,48,2026-02-03T18:00:00+05:00,1,7.17,1.1,0.367,0.8677,1.0,ok,
2026-02-04,2026-02-05T18:00:00+05:00,42,2026-02-04T23:59:00+05:00,48,2026-02-03T18:00:00+05:00,2,7.17,1.1,0.3087,0.8701,1.0,ok,
2026-02-04,2026-02-05T19:00:00+05:00,43,2026-02-04T23:59:00+05:00,48,2026-02-03T19:00:00+05:00,1,6.6,-0.3,0.282,0.8348,1.0,ok,
2026-02-04,2026-02-05T19:00:00+05:00,43,2026-02-04T23:59:00+05:00,48,2026-02-03T19:00:00+05:00,2,6.6,-0.3,0.145,0.8383,1.0,low,
2026-02-04,2026-02-05T20:00:00+05:00,44,2026-02-04T23:59:00+05:00,48,2026-02-03T20:00:00+05:00,1,6.74,-0.6,0.1893,0.6885,0.9931,low,
2026-02-04,2026-02-05T20:00:00+05:00,44,2026-02-04T23:59:00+05:00,48,2026-02-03T20:00:00+05:00,2,6.74,-0.6,0.1024,0.6879,0.9925,low,
2026-02-04,2026-02-05T21:00:00+05:00,45,2026-02-04T23:59:00+05:00,48,2026-02-03T21:00:00+05:00,1,6.72,-0.6,0.1829,0.6292,0.993,low,
2026-02-04,2026-02-05T21:00:00+05:00,45,2026-02-04T23:59:00+05:00,48,2026-02-03T21:00:00+05:00,2,6.72,-0.6,0.0963,0.6285,0.9915,low,
2026-02-04,2026-02-05T22:00:00+05:00,46,2026-02-04T23:59:00+05:00,48,2026-02-03T22:00:00+05:00,1,6.99,-1.0,0.1521,0.5856,0.9949,low,
2026-02-04,2026-02-05T22:00:00+05:00,46,2026-02-04T23:59:00+05:00,48,2026-02-03T22:00:00+05:00,2,6.99,-1.0,0.0901,0.5904,0.9927,low,
2026-02-04,2026-02-05T23:00:00+05:00,47,2026-02-04T23:59:00+05:00,48,2026-02-03T23:00:00+05:00,1,6.34,-1.6,0.1519,0.5317,1.0,low,
2026-02-04,2026-02-05T23:00:00+05:00,47,2026-02-04T23:59:00+05:00,48,2026-02-03T23:00:00+05:00,2,6.34,-1.6,0.09,0.5365,1.0,low,
2026-02-04,2026-02-06T00:00:00+05:00,48,2026-02-04T23:59:00+05:00,72,2026-02-03T00:00:00+05:00,1,6.74,-1.7,0.1602,0.7606,1.0,low,
2026-02-04,2026-02-06T00:00:00+05:00,48,2026-02-04T23:59:00+05:00,72,2026-02-03T00:00:00+05:00,2,6.74,-1.7,0.1116,0.772,1.0,low,
2026-02-04,2026-02-06T01:00:00+05:00,49,2026-02-04T23:59:00+05:00,72,2026-02-03T01:00:00+05:00,1,6.48,-1.6,0.1297,0.5703,0.9676,low,
2026-02-04,2026-02-06T01:00:00+05:00,49,2026-02-04T23:59:00+05:00,72,2026-02-03T01:00:00+05:00,2,6.48,-1.6,0.0546,0.5756,0.9669,low,
2026-02-04,2026-02-06T02:00:00+05:00,50,2026-02-04T23:59:00+05:00,72,2026-02-03T02:00:00+05:00,1,5.33,-1.8,0.01,0.3794,0.8398,low,
2026-02-04,2026-02-06T02:00:00+05:00,50,2026-02-04T23:59:00+05:00,72,2026-02-03T02:00:00+05:00,2,5.33,-1.8,0.0212,0.3713,0.8392,low,
2026-02-04,2026-02-06T03:00:00+05:00,51,2026-02-04T23:59:00+05:00,72,2026-02-03T03:00:00+05:00,1,3.74,-1.9,0.01,0.1324,0.6755,ok,
2026-02-04,2026-02-06T03:00:00+05:00,51,2026-02-04T23:59:00+05:00,72,2026-02-03T03:00:00+05:00,2,3.74,-1.9,0.0093,0.1243,0.6749,ok,
2026-02-04,2026-02-06T04:00:00+05:00,52,2026-02-04T23:59:00+05:00,72,2026-02-03T04:00:00+05:00,1,1.98,-0.9,0.01,0.0864,0.3996,ok,
2026-02-04,2026-02-06T04:00:00+05:00,52,2026-02-04T23:59:00+05:00,72,2026-02-03T04:00:00+05:00,2,1.98,-0.9,0.0086,0.0856,0.3987,ok,
2026-02-04,2026-02-06T05:00:00+05:00,53,2026-02-04T23:59:00+05:00,72,2026-02-03T05:00:00+05:00,1,1.63,0.2,0.01,0.0447,0.5245,ok,
2026-02-04,2026-02-06T05:00:00+05:00,53,2026-02-04T23:59:00+05:00,72,2026-02-03T05:00:00+05:00,2,1.63,0.2,0.0093,0.0435,0.5241,ok,
2026-02-04,2026-02-06T06:00:00+05:00,54,2026-02-04T23:59:00+05:00,72,2026-02-03T06:00:00+05:00,1,7.57,0.8,0.01,0.0986,0.5563,ok,
2026-02-04,2026-02-06T06:00:00+05:00,54,2026-02-04T23:59:00+05:00,72,2026-02-03T06:00:00+05:00,2,7.57,0.8,0.0063,0.0973,0.5555,ok,
2026-02-04,2026-02-06T07:00:00+05:00,55,2026-02-04T23:59:00+05:00,72,2026-02-03T07:00:00+05:00,1,6.37,0.6,0.0058,0.2477,0.8316,low,
2026-02-04,2026-02-06T07:00:00+05:00,55,2026-02-04T23:59:00+05:00,72,2026-02-03T07:00:00+05:00,2,6.37,0.6,0.0037,0.2463,0.8311,low,
2026-02-04,2026-02-06T08:00:00+05:00,56,2026-02-04T23:59:00+05:00,72,2026-02-03T08:00:00+05:00,1,5.71,2.2,0.0071,0.3242,0.8312,low,
2026-02-04,2026-02-06T08:00:00+05:00,56,2026-02-04T23:59:00+05:00,72,2026-02-03T08:00:00+05:00,2,5.71,2.2,0.0027,0.3232,0.8308,low,
2026-02-04,2026-02-06T09:00:00+05:00,57,2026-02-04T23:59:00+05:00,72,2026-02-03T09:00:00+05:00,1,6.95,4.0,0.0175,0.4358,0.9512,low,
2026-02-04,2026-02-06T09:00:00+05:00,57,2026-02-04T23:59:00+05:00,72,2026-02-03T09:00:00+05:00,2,6.95,4.0,0.0961,0.4353,0.9399,low,
2026-02-04,2026-02-06T10:00:00+05:00,58,2026-02-04T23:59:00+05:00,72,2026-02-03T10:00:00+05:00,1,12.8,6.0,0.2616,0.7365,0.99,ok,
2026-02-04,2026-02-06T10:00:00+05:00,58,2026-02-04T23:59:00+05:00,72,2026-02-03T10:00:00+05:00,2,12.8,6.0,0.2645,0.7231,0.9792,ok,
2026-02-04,2026-02-06T11:00:00+05:00,59,2026-02-04T23:59:00+05:00,72,2026-02-03T11:00:00+05:00,1,12.57,6.1,0.4541,0.8299,0.99,ok,
2026-02-04,2026-02-06T11:00:00+05:00,59,2026-02-04T23:59:00+05:00,72,2026-02-03T11:00:00+05:00,2,12.57,6.1,0.5253,0.8117,0.9787,ok,
2026-02-04,2026-02-06T12:00:00+05:00,60,2026-02-04T23:59:00+05:00,72,2026-02-03T12:00:00+05:00,1,10.18,6.8,0.659,0.9755,0.99,ok,
2026-02-04,2026-02-06T12:00:00+05:00,60,2026-02-04T23:59:00+05:00,72,2026-02-03T12:00:00+05:00,2,10.18,6.8,0.7285,0.9552,0.9776,ok,
2026-02-04,2026-02-06T13:00:00+05:00,61,2026-02-04T23:59:00+05:00,72,2026-02-03T13:00:00+05:00,1,13.05,6.8,0.7592,0.9811,0.99,ok,
2026-02-04,2026-02-06T13:00:00+05:00,61,2026-02-04T23:59:00+05:00,72,2026-02-03T13:00:00+05:00,2,13.05,6.8,0.7289,0.9606,0.9781,ok,
2026-02-04,2026-02-06T14:00:00+05:00,62,2026-02-04T23:59:00+05:00,72,2026-02-03T14:00:00+05:00,1,12.98,6.0,0.8135,0.9864,0.99,ok,
2026-02-04,2026-02-06T14:00:00+05:00,62,2026-02-04T23:59:00+05:00,72,2026-02-03T14:00:00+05:00,2,12.98,6.0,0.7039,0.9658,0.9809,ok,
2026-02-04,2026-02-06T15:00:00+05:00,63,2026-02-04T23:59:00+05:00,72,2026-02-03T15:00:00+05:00,1,13.0,5.6,0.8122,0.9865,0.99,ok,
2026-02-04,2026-02-06T15:00:00+05:00,63,2026-02-04T23:59:00+05:00,72,2026-02-03T15:00:00+05:00,2,13.0,5.6,0.6925,0.9711,0.9799,ok,
2026-02-04,2026-02-06T16:00:00+05:00,64,2026-02-04T23:59:00+05:00,72,2026-02-03T16:00:00+05:00,1,13.23,4.6,0.83,0.9863,0.99,ok,
2026-02-04,2026-02-06T16:00:00+05:00,64,2026-02-04T23:59:00+05:00,72,2026-02-03T16:00:00+05:00,2,13.23,4.6,0.6933,0.9718,0.98,ok,
2026-02-04,2026-02-06T17:00:00+05:00,65,2026-02-04T23:59:00+05:00,72,2026-02-03T17:00:00+05:00,1,13.56,2.5,0.829,0.986,0.99,ok,
2026-02-04,2026-02-06T17:00:00+05:00,65,2026-02-04T23:59:00+05:00,72,2026-02-03T17:00:00+05:00,2,13.56,2.5,0.6755,0.9733,0.9859,ok,
2026-02-04,2026-02-06T18:00:00+05:00,66,2026-02-04T23:59:00+05:00,72,2026-02-03T18:00:00+05:00,1,12.97,1.9,0.7538,0.9863,0.99,ok,
2026-02-04,2026-02-06T18:00:00+05:00,66,2026-02-04T23:59:00+05:00,72,2026-02-03T18:00:00+05:00,2,12.97,1.9,0.6743,0.9719,0.9865,ok,
2026-02-04,2026-02-06T19:00:00+05:00,67,2026-02-04T23:59:00+05:00,72,2026-02-03T19:00:00+05:00,1,11.55,1.3,0.6047,0.9582,0.99,ok,
2026-02-04,2026-02-06T19:00:00+05:00,67,2026-02-04T23:59:00+05:00,72,2026-02-03T19:00:00+05:00,2,11.55,1.3,0.637,0.9474,0.9872,ok,
2026-02-04,2026-02-06T20:00:00+05:00,68,2026-02-04T23:59:00+05:00,72,2026-02-03T20:00:00+05:00,1,10.17,0.5,0.495,0.9659,0.9902,ok,
2026-02-04,2026-02-06T20:00:00+05:00,68,2026-02-04T23:59:00+05:00,72,2026-02-03T20:00:00+05:00,2,10.17,0.5,0.4829,0.9648,0.9873,ok,
2026-02-04,2026-02-06T21:00:00+05:00,69,2026-02-04T23:59:00+05:00,72,2026-02-03T21:00:00+05:00,1,9.52,0.5,0.4084,0.8866,0.9863,ok,
2026-02-04,2026-02-06T21:00:00+05:00,69,2026-02-04T23:59:00+05:00,72,2026-02-03T21:00:00+05:00,2,9.52,0.5,0.4785,0.8851,0.9814,ok,
2026-02-04,2026-02-06T22:00:00+05:00,70,2026-02-04T23:59:00+05:00,72,2026-02-03T22:00:00+05:00,1,9.28,0.6,0.4982,0.886,0.9872,ok,
2026-02-04,2026-02-06T22:00:00+05:00,70,2026-02-04T23:59:00+05:00,72,2026-02-03T22:00:00+05:00,2,9.28,0.6,0.4745,0.8843,0.9819,ok,
2026-02-04,2026-02-06T23:00:00+05:00,71,2026-02-04T23:59:00+05:00,72,2026-02-03T23:00:00+05:00,1,9.7,0.8,0.4262,0.7693,0.9862,ok,
2026-02-04,2026-02-06T23:00:00+05:00,71,2026-02-04T23:59:00+05:00,72,2026-02-03T23:00:00+05:00,2,9.7,0.8,0.3878,0.767,0.977,ok,
